,Time,Close,MACD,RSI,Action,Status
0,1623508799999,35618.88000000,-19.88845774424408,43.7812764573187,Hold,N/A
1,1623508859999,35638.85000000,-18.96544624139642,46.502464551660346,Hold,N/A
2,1623508919999,35655.96000000,-16.661258354644815,48.789602483210786,Hold,N/A
3,1623508979999,35681.10000000,-12.660640969246742,52.034405661837745,Hold,N/A
4,1623509039999,35646.05000000,-12.177984716079663,47.514172718379726,Hold,N/A
5,1623509099999,35625.01000000,-13.339459335780703,44.98774521173494,Hold,N/A
6,1623509159999,35665.35000000,-10.879424244827533,50.42998373538571,Hold,N/A
7,1623509219999,35702.74000000,-5.845386219203647,54.8849444400479,Hold,N/A
8,1623509279999,35694.44000000,-2.4968335071753245,53.73055211658361,Hold,N/A
9,1623509339999,35655.99000000,-2.912106071744347,48.62797772175734,Hold,N/A
10,1623509399999,35641.33000000,-4.373734365100972,46.80297380776165,Hold,N/A
11,1623509459999,35654.99000000,-4.379355001037766,48.73365839929839,Hold,N/A
12,1623509519999,35647.18000000,-4.956871396701899,47.66843694485712,Hold,N/A
13,1623509579999,35636.83000000,-6.178493969986448,46.226404587584895,Hold,N/A
14,1623509639999,35602.84000000,-9.776648476465198,41.75868036328744,Hold,N/A
15,1623509699999,35658.18000000,-8.069713705452159,50.198137310130086,Hold,N/A
16,1623509759999,35690.95000000,-4.026278044904757,54.41089368142249,Hold,N/A
17,1623509819999,35697.20000000,-0.313885113770084,55.18944869186397,Hold,N/A
18,1623509879999,35679.41000000,1.1791165857066517,52.44405216480933,Hold,N/A
19,1623509939999,35678.30000000,2.246863027343352,52.26933815175491,Hold,N/A
20,1623509999999,35660.37000000,1.6274978402798297,49.40612122811626,Hold,N/A
21,1623510059999,35709.73000000,5.061243088704941,56.474650535206536,Buy,Succeeded
22,1623510119999,35760.03000000,11.706356966089515,62.26093453959244,Hold,N/A
23,1623510179999,35732.07000000,14.548809639636602,57.67136871183056,Hold,N/A
24,1623510239999,35776.74000000,20.17342287801148,62.43562975499945,Hold,N/A
25,1623510299999,35776.64000000,24.342297376701026,62.41869243389011,Hold,N/A
26,1623510359999,35812.18000000,30.16620420756226,65.95365505922834,Hold,N/A
27,1623510419999,35806.55000000,33.93620295872097,64.91202441423236,Hold,N/A
28,1623510479999,35822.35000000,37.76356718873285,66.51053833180795,Hold,N/A
29,1623510539999,35763.14000000,35.60855549214466,56.181214551216875,Hold,N/A
30,1623510599999,35716.10000000,29.761881878097483,49.591781188646664,Sell,Succeeded
31,1623510659999,35699.51000000,23.51856913913798,47.47682035858238,Hold,N/A
32,1623510719999,35563.40000000,7.501289139792789,34.483236070476366,Hold,N/A
33,1623510779999,35568.51000000,-4.7257113057276,35.20026409147871,Hold,N/A
34,1623510839999,35592.29000000,-12.354435742476198,38.56958790913957,Hold,N/A
35,1623510899999,35538.82000000,-22.45597841237759,34.25643638371332,Hold,N/A
36,1623510959999,35445.93000000,-37.52441237412131,28.32947942810595,Hold,N/A
37,1623511019999,35373.11000000,-54.71153969601437,24.71884034795422,Hold,N/A
38,1623511079999,35407.58000000,-64.8040008206226,29.31155243196526,Hold,N/A
39,1623511139999,35486.87000000,-65.64756437043252,38.5920142832571,Hold,N/A
40,1623511199999,35443.92000000,-68.98656641805428,35.84665483953625,Hold,N/A
41,1623511259999,35473.97000000,-68.41927096911968,39.110361758824475,Hold,N/A
42,1623511319999,35493.00000000,-65.67703925307433,41.15210793874836,Hold,N/A
43,1623511379999,35487.38000000,-63.228429911410785,40.71787212155634,Hold,N/A
44,1623511439999,35464.38000000,-62.42420971595129,38.90839507874241,Hold,N/A
45,1623511499999,35474.50000000,-60.27544221562857,40.16829697011277,Hold,N/A
46,1623511559999,35489.99000000,-56.66936577274464,42.135385237808634,Hold,N/A
47,1623511619999,35487.64000000,-53.38575185569789,41.910265268405375,Hold,N/A
48,1623511679999,35486.91000000,-50.26296885110787,41.83549109776271,Hold,N/A
49,1623511739999,35459.25000000,-49.45004235063243,38.99645860399629,Hold,N/A
50,1623511799999,35445.61000000,-49.337692045693984,37.63995345253443,Hold,N/A
51,1623511859999,35491.07000000,-45.06097665526613,44.561561631493205,Hold,N/A
52,1623511919999,35522.22000000,-38.7118580256647,48.75852792183541,Hold,N/A
53,1623511979999,35510.88000000,-34.20093194235233,47.353087372487266,Hold,N/A
54,1623512039999,35511.65000000,-30.21555188344064,47.46382181523739,Hold,N/A
55,1623512099999,35536.86000000,-24.73771221467905,51.09097288709733,Hold,N/A
56,1623512159999,35511.47000000,-22.189459343542694,47.53167127214709,Hold,N/A
57,1623512219999,35520.94000000,-19.18465200184437,48.95992025900483,Hold,N/A
58,1623512279999,35534.56000000,-15.525333976278489,51.02479982035577,Hold,N/A
59,1623512339999,35494.93000000,-15.642787557655538,45.28414772374706,Hold,N/A
60,1623512399999,35517.17000000,-13.782413154942333,48.767676217521576,Hold,N/A
61,1623512459999,35540.86000000,-10.277989755042654,52.25467663289629,Hold,N/A
62,1623512519999,35538.02000000,-7.641783504346677,51.799508814717264,Hold,N/A
63,1623512579999,35544.74000000,-4.953225518707768,52.84615315389083,Hold,N/A
64,1623512639999,35515.01000000,-5.161982361656555,47.89146725967841,Hold,N/A
65,1623512699999,35470.01000000,-8.85645587266481,41.542568766240365,Hold,N/A
66,1623512759999,35464.63000000,-12.079231918352889,40.84540013033102,Hold,N/A
67,1623512819999,35533.08000000,-9.00614498071809,51.90460388568485,Hold,N/A
68,1623512879999,35524.65000000,-7.168300286211888,50.64873938475668,Hold,N/A
69,1623512939999,35457.90000000,-10.971489767311141,41.986090368245485,Hold,N/A
70,1623512999999,35427.22000000,-16.273572810707265,38.709039089842705,Hold,N/A
71,1623513059999,35428.56000000,-20.135278069094056,38.93322942231682,Hold,N/A
72,1623513119999,35447.01000000,-21.459573891828768,42.07491958185845,Hold,N/A
73,1623513179999,35411.07000000,-25.119582597479166,37.97630151079844,Hold,N/A
74,1623513239999,35413.76000000,-27.486260841535113,38.45950938279529,Hold,N/A
75,1623513299999,35389.36000000,-30.97370093769132,35.73963594881773,Hold,N/A
76,1623513359999,35443.53000000,-29.031795589238754,45.03350762685721,Hold,N/A
77,1623513419999,35433.88000000,-27.94931367134268,43.81772351939619,Hold,N/A
78,1623513479999,35450.00000000,-25.49677867958235,46.41995638261324,Hold,N/A
79,1623513539999,35422.48000000,-25.480042960349238,42.77722221107641,Hold,N/A
80,1623513599999,35384.96000000,-28.16960850270698,38.357708463067006,Hold,N/A
81,1623513659999,35360.00000000,-31.94690790480672,35.714264803858434,Hold,N/A
82,1623513719999,35407.40000000,-30.76106660554069,43.65548908871242,Hold,N/A
83,1623513779999,35457.89000000,-25.453742891237198,50.64879210055678,Hold,N/A
84,1623513839999,35469.98000000,-20.04106769750797,52.17935702807043,Hold,N/A
85,1623513899999,35501.20000000,-13.081495193051524,55.97628163190287,Hold,N/A
86,1623513959999,35517.30000000,-6.1954313198366435,57.83554418555098,Hold,N/A
87,1623514019999,35541.93000000,1.235022499000479,60.57845012511963,Buy,Succeeded
88,1623514079999,35502.03000000,3.859622812917223,54.404126050845136,Sell,Succeeded
89,1623514139999,35466.64000000,3.0488153914775467,49.577453576479385,Hold,N/A
90,1623514199999,35465.16000000,2.2607603987053153,49.3801503281487,Hold,N/A
91,1623514259999,35415.20000000,-2.3678383608494187,43.138989370295924,Hold,N/A
92,1623514319999,35400.99000000,-7.1008107410089,41.53114784343489,Hold,N/A
93,1623514379999,35410.01000000,-10.008514905050106,42.983823007825976,Hold,N/A
94,1623514439999,35450.76000000,-8.921861302464094,49.132606322490865,Hold,N/A
95,1623514499999,35443.31000000,-8.563122881030722,48.111080041767224,Hold,N/A
96,1623514559999,35451.75000000,-7.511198216023331,49.394729233560575,Hold,N/A
97,1623514619999,35432.76000000,-8.116314809354662,46.6013043675417,Hold,N/A
98,1623514679999,35527.98000000,-0.9020179544531857,59.093452118163725,Hold,N/A
99,1623514739999,35545.19000000,6.133365825931833,60.875002712994984,Buy,Succeeded
100,1623514799999,35533.27000000,10.62463954759005,58.95968616305672,Hold,N/A
101,1623514859999,35510.21000000,12.182821072565275,55.33265875472253,Hold,N/A
102,1623514919999,35524.66000000,14.417489548570302,57.11304454162064,Hold,N/A
103,1623514979999,35563.01000000,19.063255567678425,61.499127050984725,Hold,N/A
104,1623515039999,35535.56000000,20.296112071904645,57.00518369761954,Hold,N/A
105,1623515099999,35567.96000000,23.615345947619062,60.65934391941433,Hold,N/A
106,1623515159999,35540.00000000,23.716337206962635,56.21885941909666,Hold,N/A
107,1623515219999,35542.79000000,23.747753866482526,56.56057785408867,Hold,N/A
108,1623515279999,35555.99000000,24.554729837720515,58.22201250548744,Hold,N/A
109,1623515339999,35519.56000000,22.001053121872246,52.27912563039743,Sell,Succeeded
110,1623515399999,35519.31000000,19.729641984136833,52.23971833787808,Hold,N/A
111,1623515459999,35545.91000000,19.84714446045109,56.036912291934605,Buy,Succeeded
112,1623515519999,35513.02000000,17.089322816987988,50.67235474962405,Sell,Succeeded
113,1623515579999,35532.04000000,16.25115118388203,53.44779142879288,Hold,N/A
114,1623515639999,35537.14000000,15.816103309691243,54.19205387521999,Hold,N/A
115,1623515699999,35531.93000000,14.8794008064433,53.25535217666165,Hold,N/A
116,1623515759999,35518.43000000,12.899028180749156,50.80486880702125,Hold,N/A
117,1623515819999,35488.37000000,8.802507996166241,45.75618474191278,Hold,N/A
118,1623515879999,35481.88000000,4.974949355862918,44.722846035963876,Hold,N/A
119,1623515939999,35450.89000000,-0.5526814803379239,40.06947091950976,Hold,N/A
120,1623515999999,35458.96000000,-4.233387332285929,41.768623305614305,Hold,N/A
121,1623516059999,35454.00000000,-7.464557018771302,40.99922245250503,Hold,N/A
122,1623516119999,35464.52000000,-9.071831764376839,43.381432890325144,Hold,N/A
123,1623516179999,35458.25000000,-10.727880846956396,42.28558268840155,Hold,N/A
124,1623516239999,35431.87000000,-14.007487611408578,37.94279540821545,Hold,N/A
125,1623516299999,35425.30000000,-16.941453166327847,36.925657737164244,Hold,N/A
126,1623516359999,35415.41000000,-19.83602500375855,35.3877883845403,Hold,N/A
127,1623516419999,35418.37000000,-21.641675018800015,36.24363289180218,Hold,N/A
128,1623516479999,35461.91000000,-19.336452950599778,47.30125893170289,Hold,N/A
129,1623516539999,35498.91000000,-14.358441894881253,54.519932726414964,Hold,N/A
130,1623516599999,35491.47000000,-10.888166088887374,52.949304734572344,Hold,N/A
131,1623516659999,35497.18000000,-7.589708792576857,54.04354427861103,Hold,N/A
132,1623516719999,35524.41000000,-2.746761237998726,58.946850909918794,Hold,N/A
133,1623516779999,35498.22000000,-1.0103577552072238,53.08071853369209,Hold,N/A
